0,1,2,3,4,5
Sr.No.,Session,Course,Trainer Profile,Project List,Activity Report
1,PBL-FE SEM II : 2017-18,C Programming,Click Here,Click Here,Click Here
2,PBL-SE SEM III : 2018-19,Core JAVA,Click Here,Click Here,Click Here
3,PBL-SE SEM III : 2018-19,AutoCAD 3D,Click Here,Click Here,Click Here
4,PBL-SE SEM III : 2018-19,MATLAB,Click Here,Click Here,Click Here
5,PBL-SE SEM III : 2018-19,Solidworks,Click Here,Click Here,Click Here
6,PBL-SE SEM IV : 2018-19,Python,Click Here,Click Here,Click Here
7,PBL-SE SEM IV : 2018-19,Revit,Click Here,Click Here,Click Here
8,PBL-SE SEM IV : 2018-19,MATLAB,Click Here,Click Here,Click Here
9,PBL-SE SEM IV : 2018-19,IoT,Click Here,Click Here,Click Here
10,PBL-FE SEM II : 2018-19,C Programming,Click Here,Click Here,Click Here
